"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",Santosh3887,"Pune, India",[]
"RT @rachitseth: 10000 Chowkidars in BJP ruled Jharkhand haven’t got their salaries since 6 months. 

Chowkidars in NDA ruled Bihar, haven’t…",Harshit1118,,[]
"RT @republic: #ModiChantSpooksCong | In every Rahul Gandhi rally, people will chant 'Modi'. People of India love him, even Priyanka Gandhi…",Subrata93169802,,['ModiChantSpooksCong']
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",tuhinroy62,New Delhi.,[]
"RT @AudaciousQuest_: @YourGirlNeha @Mayavi101 @BJP4India @AmitShah Sher akela chalne wala hai. Everyone is leaving.Too many now😂😂
Hello @Ti…",VazeIndian,मुम्बई,[]
"What if kunnhalikutty joins bjp ? 
His name will be Sanghalikutty",xyz_varun,"Kerala, India",[]
"RT @republic: #ModiChantSpooksCong | In every Rahul Gandhi rally, people will chant 'Modi'. People of India love him, even Priyanka Gandhi…",judasespriest,,['ModiChantSpooksCong']
@TimesNow @PadmajaJoshi @thenewshour I don't see any BJP politicians in there all are employees who chanted MODI. i… https://t.co/rEJm0o91ow,winodhwin,"Bengaluru, India",[]
RT @RohitBJP: BJP should go to every constituency of Bihar and tell people how MahaThugBandhan gangster @ncbn described Biharis as “Dacoits…,I__Am__Ram,bengaluru,[]
RT @BodkheShilpa: Remember that have been scores of incidents involving public lynching of poor people transporting cows by d so-called cow…,FansOfRG1,,[]
RT @aniljaindr: At the Central Election Committee meeting BJP HQ New Delhi. https://t.co/a3HStMIhOr,banna__rb,Jhunjhunu - Jaipur - Mumbai,[]
RT @TheQuint: LIVE | Gujarat BJP's Parliamentary Board today finalised the panel of names of candidates for #LokSabha seats in the state wh…,BidyadharPanda8,"ADHEIGUNDI,Cuttack/BBSR,Odisha",['LokSabha']
"RT @geetv79: 2.5 Yrs after #DeMoDisaster failed, with 
99.3% money back with RBI, 
Modi Must be Made to Disclose👇 
➡WHO exactly was on his…",Lalit63469099,"Nagpur, India",['DeMoDisaster']
"RT @akhileshsharma1: Out of BJP’s 12 incumbent chief ministers, five are below 50 years of age: Yogi Adityanath (46), Devendra Fadnavis (48…",OfficeOfSA,"Lucknow, Uttar Pradesh, India",[]
@thewire_in @shahfaesal I feel further division of secular votes will only help communal BJP ....,TheSNFD,"Hyderabad, India",[]
"RT @muglikar_: Dhansiri to Kohima (a capital city) was declared a nation project in 2007.

Suresh Prabhu laid foundation stone in 2016 and…",johanesj2,,[]
